internal_id,closest_1,closest_2,closest_3
361,30526,26662,362
362,30528,329,361
363,2625,30647,1022
364,31897,23791,545
365,548,5998,6886
171,242,244,251
367,30537,30531,2366
368,7364,3977,7391
369,30543,30540,22425
370,497,2620,934
1,2,3,4
372,49,252,568
373,34651,29531,26519
374,29531,26634,3245
375,1298,26630,26632
376,92,2630,3237
377,424,430,1090
378,23206,32772,34569
379,1199,29590,29540
380,379,29500,3691
381,3672,3402,6018
382,27453,807,850
383,1200,28418,1120
384,1235,28420,823
385,28427,29549,28434
163,386,1059,1291
387,28436,28434,26636
388,364,4437,28412
389,3414,2643,2639
390,28448,28464,29552
391,28455,28448,32850
392,28458,28461,29555
393,641,6084,17922
394,26805,6085,34468
317,395,400,532
396,26806,169,5687
32,397,525,2660
398,26749,26756,867
399,16154,169,5687
317,395,400,532
401,33149,410,2378
402,26808,2420,412
403,32800,33149,404
404,26810,406,403
1,2,3,4
406,26810,404,408
407,408,26810,406
408,407,26811,406
409,410,2378,17090
410,2378,17090,19452
411,185,26811,3478
412,26814,2420,2419
15,18,86,413
19,93,105,259
415,765,1368,2339
15,18,86,413
417,338,1052,30363
418,209,441,208
96,419,15,18
1,2,3,4
15,18,86,413
422,425,428,3236
423,2351,30463,3867
377,424,430,1090
422,425,428,3236
426,2042,3771,30490
427,30487,17931,422
422,425,428,3236
282,429,432,696
377,424,430,1090
15,18,86,413
282,429,432,696
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
441,209,418,208
443,270,34564,222
444,29534,3676,26553
1,2,3,4
446,450,95,26521
447,840,3219,3680
1,2,3,4
1,2,3,4
446,450,95,26521
451,811,29527,812
452,1305,26633,26519
1,2,3,4
454,2361,457,468
455,3723,3724,3726
456,459,458,22995
457,1321,2361,26435
458,456,30381,459
459,457,3248,456
460,30390,1321,26435
461,1323,30396,26443
462,1194,28582,33237
463,1324,26642,32590
71,106,275,464
465,32590,26643,3298
466,695,1326,27434
467,697,1325,1405
468,454,457,2361
469,697,1325,465
470,469,2580,697
471,472,1332,2361
472,471,1332,30432
1,2,3,4
1,2,3,4
476,477,2600,6119
476,477,2600,6119
479,2602,485,927
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
484,2607,30410,183
485,2608,927,479
486,2609,928,790
487,2610,30413,1466
488,2611,30401,30392
489,2612,40,30517
490,2613,30434,987
491,2614,493,2616
492,2615,26664,981
493,2616,30389,976
494,2617,977,988
495,499,917,985
496,2619,790,30392
497,2620,370,476
498,2621,988,30549
495,499,917,985
500,2623,30410,33
1,2,3,4
1,2,3,4
513,3305,32600,22425
517,64,588,23684
518,27500,34488,11674
519,3737,33423,8613
520,27501,33105,254
521,522,2376,6038
521,522,2376,6038
523,3514,30846,6012
524,7039,7042,1340
32,397,525,2660
526,1096,27491,27492
527,26524,30465,2364
528,26846,2439,7059
529,7516,521,522
530,64,588,4437
531,933,30503,7059
317,395,400,532
1,2,3,4
1,2,3,4
1,2,3,4
538,548,360,26655
171,242,244,251
540,176,171,242
171,242,244,251
542,3482,31897,3522
171,242,244,251
544,30632,355,30653
545,23791,2758,8180
546,1026,30635,30653
547,245,171,242
548,360,26655,171
549,1153,30512,1465
551,2681,418,28019
552,983,30522,928
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
562,236,877,572
237,563,734,742
564,30586,27442,28587
565,859,571,237
71,106,275,464
1,2,3,4
49,252,568,569
49,252,568,569
235,570,745,750
571,859,565,26853
572,878,236,571
1,2,3,4
1,2,3,4
1,2,3,4
587,634,26769,26767
588,23684,64,517
53,59,589,1099
46,51,590,776
591,2380,6095,6929
592,1462,1025,6849
593,5998,6886,50
594,638,46,51
595,33418,2448,519
596,30847,3515,3485
597,3485,611,600
598,30525,601,610
599,7393,602,2657
600,611,597,602
601,610,30530,1224
602,948,611,600
603,30530,1219,608
604,7024,5995,30452
605,6881,598,6878
606,2654,2364,7393
607,948,602,611
608,932,613,1219
609,30474,608,932
601,610,30530,1224
611,600,597,602
612,3485,597,611
613,608,932,1219
19,93,105,259
1,2,3,4
65,66,109,110
